Experiment	bias spectroscopy	
-1.8424424E+0	-179.65363E-15	-1.8424424E+0	-69.890433E-9	95.070192E-15	10.242662E-12
-1.8393393E+0	-140.85238E-15	-1.8393393E+0	-69.890433E-9	125.79774E-15	10.264068E-12
-1.8362361E+0	-131.81066E-15	-1.8362361E+0	-69.890433E-9	129.48303E-15	10.264418E-12
-1.8331330E+0	-139.82472E-15	-1.8331331E+0	-69.890433E-9	91.202843E-15	10.262161E-12
-1.8300300E+0	-123.56548E-15	-1.8300300E+0	-69.890433E-9	81.402048E-15	10.259306E-12
-1.8269268E+0	-85.717620E-15	-1.8269268E+0	-69.890433E-9	95.909649E-15	10.249394E-12
-1.8238237E+0	-107.46441E-15	-1.8238237E+0	-69.890433E-9	105.32605E-15	10.267609E-12
-1.8207207E+0	-101.34286E-15	-1.8207207E+0	-69.890433E-9	80.027171E-15	10.268848E-12
-1.8176175E+0	-85.289936E-15	-1.8176175E+0	-69.890433E-9	93.246632E-15	10.264091E-12
-1.8145144E+0	-72.941727E-15	-1.8145144E+0	-69.890433E-9	93.247262E-15	10.249199E-12
-1.8114114E+0	-92.477370E-15	-1.8114114E+0	-69.890433E-9	90.356325E-15	10.238209E-12
-1.8083082E+0	-88.304147E-15	-1.8083082E+0	-69.890433E-9	95.905766E-15	10.275664E-12
-1.8052051E+0	-64.365248E-15	-1.8052051E+0	-69.890433E-9	117.07993E-15	10.279518E-12
-1.8021021E+0	-68.826862E-15	-1.8021020E+0	-69.890433E-9	95.663705E-15	10.256726E-12
-1.7989990E+0	-82.726367E-15	-1.7989990E+0	-69.890433E-9	94.181858E-15	10.254173E-12
-1.7958958E+0	-57.550312E-15	-1.7958958E+0	-69.890433E-9	105.82355E-15	10.256599E-12
-1.7927927E+0	-43.413112E-15	-1.7927927E+0	-69.890433E-9	112.37474E-15	10.261944E-12
-1.7896895E+0	-52.476883E-15	-1.7896897E+0	-69.890433E-9	108.98843E-15	10.255570E-12
-1.7865865E+0	-58.354837E-15	-1.7865865E+0	-69.890433E-9	86.314805E-15	10.254840E-12
-1.7834834E+0	-39.565753E-15	-1.7834834E+0	-69.890433E-9	110.05845E-15	10.260774E-12
-1.7803802E+0	-32.524415E-15	-1.7803802E+0	-69.890433E-9	109.60959E-15	10.285760E-12
-1.7772772E+0	-40.952498E-15	-1.7772772E+0	-69.890433E-9	75.230742E-15	10.254377E-12
-1.7741741E+0	-36.565840E-15	-1.7741741E+0	-69.890433E-9	74.002728E-15	10.267542E-12
-1.7710710E+0	-27.199761E-15	-1.7710710E+0	-69.890433E-9	81.560660E-15	10.267422E-12
-1.7679679E+0	-43.515884E-15	-1.7679679E+0	-69.890433E-9	94.290922E-15	10.273838E-12
-1.7648648E+0	-49.026738E-15	-1.7648648E+0	-69.890433E-9	92.016753E-15	10.251587E-12
-1.7617617E+0	-19.053046E-15	-1.7617617E+0	-69.890433E-9	80.750355E-15	10.262423E-12
-1.7586585E+0	-24.192044E-15	-1.7586585E+0	-69.890433E-9	83.037012E-15	10.264756E-12
-1.7555555E+0	-28.061531E-15	-1.7555555E+0	-69.890433E-9	103.62874E-15	10.280033E-12
-1.7524524E+0	-40.043354E-15	-1.7524524E+0	-69.890433E-9	89.551501E-15	10.245710E-12
-1.7493492E+0	-11.837843E-15	-1.7493492E+0	-69.890433E-9	91.472721E-15	10.262052E-12
-1.7462461E+0	-6.1063050E-15	-1.7462462E+0	-69.890433E-9	97.514275E-15	10.247682E-12
