Experiment	bias spectroscopy	
-78.446120E-3	-372.63637E-12	-78.446120E-3	5.4912247E-12	-1.8053649E-12	-364.41009E-12	-78.446120E-3	5.3545020E-12	-1.7894524E-12
-77.944860E-3	-367.72402E-12	-77.944860E-3	5.3984824E-12	-1.7507590E-12	-363.22059E-12	-77.944860E-3	5.4031610E-12	-1.8111981E-12
-77.443615E-3	-366.43269E-12	-77.443607E-3	5.3982777E-12	-1.7750796E-12	-364.69966E-12	-77.443607E-3	5.3573955E-12	-1.7579956E-12
-76.942354E-3	-364.00491E-12	-76.942354E-3	5.4441625E-12	-1.7074023E-12	-359.30886E-12	-76.942354E-3	5.3305051E-12	-1.7663042E-12
-76.441109E-3	-364.14188E-12	-76.441102E-3	5.4353362E-12	-1.6749826E-12	-357.96396E-12	-76.441102E-3	5.4195177E-12	-1.8121719E-12
-75.939849E-3	-358.69588E-12	-75.939849E-3	5.3874054E-12	-1.8438849E-12	-355.49985E-12	-75.939849E-3	5.3685940E-12	-1.8111399E-12
-75.438596E-3	-356.95896E-12	-75.438596E-3	5.4635250E-12	-1.7924608E-12	-356.19804E-12	-75.438596E-3	5.3704649E-12	-1.7072739E-12
-74.937344E-3	-358.99442E-12	-74.937344E-3	5.5200159E-12	-1.7320960E-12	-356.50966E-12	-74.937344E-3	5.4936064E-12	-1.7636435E-12
-74.436091E-3	-355.87611E-12	-74.436091E-3	5.4370909E-12	-1.7607710E-12	-349.59030E-12	-74.436091E-3	5.3762082E-12	-1.8285636E-12
-73.934838E-3	-352.05924E-12	-73.934838E-3	5.2794349E-12	-1.7914947E-12	-345.74829E-12	-73.934838E-3	5.2988616E-12	-1.7840812E-12
-73.433585E-3	-348.83899E-12	-73.433585E-3	5.4245068E-12	-1.7177522E-12	-347.22986E-12	-73.433585E-3	5.4172079E-12	-1.7901777E-12
-72.932333E-3	-343.46487E-12	-72.932333E-3	5.2419332E-12	-1.7411452E-12	-352.10268E-12	-72.932333E-3	5.4351640E-12	-1.7639551E-12
-72.431080E-3	-340.07186E-12	-72.431080E-3	5.3651172E-12	-1.7997847E-12	-345.00716E-12	-72.431080E-3	5.3183452E-12	-1.8011901E-12
-71.929827E-3	-337.23063E-12	-71.929827E-3	5.3288029E-12	-1.9317087E-12	-337.55770E-12	-71.929827E-3	5.3365884E-12	-1.7596917E-12
-71.428575E-3	-333.92039E-12	-71.428575E-3	5.2652800E-12	-1.8084772E-12	-335.38464E-12	-71.428575E-3	5.1967762E-12	-1.8552497E-12
-70.927322E-3	-333.55343E-12	-70.927322E-3	5.2958805E-12	-1.7070433E-12	-335.09501E-12	-70.927322E-3	5.2104410E-12	-1.7700819E-12
-70.426069E-3	-330.95524E-12	-70.426069E-3	5.3562124E-12	-1.7858508E-12	-328.68319E-12	-70.426069E-3	5.2756315E-12	-1.8119946E-12
