Experiment	Oscilloscope	
3.0699998E-1	-7.0027156E-8
3.0799997E-1	-7.0027355E-8
3.0899999E-1	-7.0027369E-8
3.0999997E-1	-7.0027390E-8
3.1099999E-1	-7.0027383E-8
3.1199998E-1	-7.0027156E-8
3.1299996E-1	-7.0027198E-8
3.1399998E-1	-7.0027255E-8
3.1499997E-1	-7.0027482E-8
3.1599998E-1	-7.0027468E-8
3.1699997E-1	-7.0027184E-8
3.1799999E-1	-7.0027042E-8
3.1899998E-1	-7.0026907E-8
3.1999999E-1	-7.0027113E-8
3.2099998E-1	-7.0027426E-8
3.2199997E-1	-7.0027085E-8
3.2299998E-1	-7.0027241E-8
3.2399997E-1	-7.0027319E-8
3.2499999E-1	-7.0027127E-8
3.2599998E-1	-7.0027177E-8
3.2699999E-1	-7.0027184E-8
3.2799998E-1	-7.0027028E-8
3.2899997E-1	-7.0027070E-8
3.2999998E-1	-7.0027085E-8
3.3099997E-1	-7.0027156E-8
3.3199999E-1	-7.0027276E-8
3.3299997E-1	-7.0027241E-8
3.3399999E-1	-7.0027042E-8
3.3499998E-1	-7.0027042E-8
3.3599997E-1	-7.0027113E-8
3.3699998E-1	-7.0027340E-8
3.3799997E-1	-7.0027284E-8
3.3899999E-1	-7.0027156E-8
3.3999997E-1	-7.0027035E-8
3.4099999E-1	-7.0027092E-8
3.4199998E-1	-7.0027141E-8
3.4299996E-1	-7.0027319E-8
3.4399998E-1	-7.0027397E-8
3.4499997E-1	-7.0027397E-8
3.4599999E-1	-7.0027056E-8
3.4699997E-1	-7.0026971E-8
3.4799999E-1	-7.0027298E-8
3.4899998E-1	-7.0027355E-8
3.4999996E-1	-7.0027333E-8
3.5099998E-1	-7.0027369E-8
3.5199997E-1	-7.0027269E-8
3.5299999E-1	-7.0027269E-8
3.5399997E-1	-7.0027269E-8
3.5499999E-1	-7.0027440E-8
3.5599998E-1	-7.0027468E-8
3.5699996E-1	-7.0027234E-8
3.5799998E-1	-7.0027362E-8
3.5899997E-1	-7.0027539E-8
3.5999998E-1	-7.0027326E-8
3.6099997E-1	-7.0027383E-8
3.6199999E-1	-7.0027497E-8
3.6299998E-1	-7.0027681E-8
3.6399996E-1	-7.0027582E-8
3.6499998E-1	-7.0027340E-8
3.6599997E-1	-7.0027433E-8
3.6699998E-1	-7.0027639E-8
3.6799997E-1	-7.0027468E-8
3.6899999E-1	-7.0027511E-8
3.6999997E-1	-7.0027497E-8
3.7099996E-1	-7.0027113E-8
3.7199998E-1	-7.0027284E-8
3.7299997E-1	-7.0027248E-8
3.7399998E-1	-7.0027198E-8
3.7499997E-1	-7.0027383E-8
3.7599999E-1	-7.0027212E-8
3.7699997E-1	-7.0027340E-8
3.7799996E-1	-7.0027440E-8
3.7899998E-1	-7.0027404E-8
3.7999997E-1	-7.0027795E-8
3.8099998E-1	-7.0027738E-8
3.8199997E-1	-7.0027632E-8
3.8299999E-1	-7.0027717E-8
3.8399997E-1	-7.0027589E-8
3.8499996E-1	-7.0027340E-8
3.8599998E-1	-7.0027326E-8
3.8699996E-1	-7.0027276E-8
3.8799998E-1	-7.0027362E-8
3.8899997E-1	-7.0027447E-8
3.8999999E-1	-7.0027440E-8
3.9099997E-1	-7.0027532E-8
3.9199996E-1	-7.0027397E-8
3.9299998E-1	-7.0027056E-8
3.9399996E-1	-7.0027006E-8
3.9499998E-1	-7.0027177E-8
3.9599997E-1	-7.0027582E-8
3.9699998E-1	-7.0027568E-8
3.9799997E-1	-7.0027411E-8
3.9899996E-1	-7.0027305E-8
3.9999998E-1	-7.0027319E-8
4.0099996E-1	-7.0027170E-8
4.0199998E-1	-7.0027305E-8
4.0299997E-1	-7.0027482E-8
4.0399998E-1	-7.0027710E-8
4.0499997E-1	-7.0027852E-8
4.0599996E-1	-7.0027340E-8
4.0699998E-1	-7.0027369E-8
4.0799996E-1	-7.0027291E-8
4.0899998E-1	-7.0027390E-8
4.0999997E-1	-7.0027511E-8
4.1099998E-1	-7.0027355E-8
4.1199997E-1	-7.0027326E-8
4.1299996E-1	-7.0027369E-8
4.1399997E-1	-7.0027369E-8
4.1499996E-1	-7.0027298E-8
4.1599998E-1	-7.0027355E-8
4.1699997E-1	-7.0027554E-8
4.1799998E-1	-7.0027539E-8
4.1899997E-1	-7.0027376E-8
4.1999996E-1	-7.0027269E-8
4.2099997E-1	-7.0027284E-8
4.2199996E-1	-7.0027198E-8
4.2299998E-1	-7.0027184E-8
4.2399997E-1	-7.0027077E-8
4.2499998E-1	-7.0027262E-8
4.2599997E-1	-7.0027511E-8
4.2699996E-1	-7.0027220E-8
4.2799997E-1	-7.0027397E-8
4.2899996E-1	-7.0027475E-8
4.2999998E-1	-7.0027369E-8
4.3099996E-1	-7.0027554E-8
4.3199998E-1	-7.0027269E-8
4.3299997E-1	-7.0027198E-8
4.3399996E-1	-7.0027269E-8
4.3499997E-1	-7.0027113E-8
4.3599996E-1	-7.0027312E-8
4.3699998E-1	-7.0027468E-8
4.3799996E-1	-7.0027035E-8
4.3899998E-1	-7.0027092E-8
4.3999997E-1	-7.0027127E-8
4.4099995E-1	-7.0027113E-8
4.4199997E-1	-7.0027369E-8
4.4299996E-1	-7.0027383E-8
4.4399998E-1	-7.0027127E-8
4.4499996E-1	-7.0027262E-8
4.4599998E-1	-7.0027085E-8
4.4699997E-1	-7.0027049E-8
4.4799995E-1	-7.0026999E-8
4.4899997E-1	-7.0026744E-8
4.4999996E-1	-7.0026971E-8
4.5099998E-1	-7.0026950E-8
4.5199996E-1	-7.0026957E-8
4.5299998E-1	-7.0026942E-8
4.5399997E-1	-7.0026772E-8
4.5499998E-1	-7.0026999E-8
4.5599997E-1	-7.0027134E-8
4.5699996E-1	-7.0027149E-8
4.5799997E-1	-7.0027227E-8
4.5899996E-1	-7.0027269E-8
4.5999998E-1	-7.0027156E-8
4.6099997E-1	-7.0027184E-8
4.6199998E-1	-7.0027099E-8
4.6299997E-1	-7.0027070E-8
4.6399996E-1	-7.0027099E-8
4.6499997E-1	-7.0027070E-8
4.6599996E-1	-7.0027063E-8
4.6699998E-1	-7.0027063E-8
4.6799996E-1	-7.0026985E-8
4.6899998E-1	-7.0027028E-8
4.6999997E-1	-7.0026942E-8
4.7099996E-1	-7.0027113E-8
4.7199997E-1	-7.0026715E-8
4.7299996E-1	-7.0026587E-8
4.7399998E-1	-7.0026672E-8
4.7499996E-1	-7.0026545E-8
4.7599998E-1	-7.0026736E-8
4.7699997E-1	-7.0027042E-8
4.7799996E-1	-7.0026928E-8
4.7899997E-1	-7.0027028E-8
4.7999996E-1	-7.0026992E-8
4.8099998E-1	-7.0026609E-8
4.8199996E-1	-7.0026658E-8
4.8299998E-1	-7.0026900E-8
4.8399997E-1	-7.0027042E-8
4.8499995E-1	-7.0027198E-8
4.8599997E-1	-7.0027099E-8
4.8699996E-1	-7.0027049E-8
4.8799998E-1	-7.0026985E-8
4.8899996E-1	-7.0026758E-8
4.8999998E-1	-7.0026857E-8
4.9099997E-1	-7.0026815E-8
4.9199995E-1	-7.0026687E-8
4.9299997E-1	-7.0026800E-8
4.9399996E-1	-7.0026324E-8
4.9499997E-1	-7.0026367E-8
4.9599996E-1	-7.0026665E-8
4.9699998E-1	-7.0026900E-8
4.9799997E-1	-7.0026964E-8
4.9899995E-1	-7.0027113E-8
4.9999997E-1	-7.0027014E-8
5.0099999E-1	-7.0027085E-8
5.0199997E-1	-7.0027106E-8
5.0299996E-1	-7.0026950E-8
5.0399995E-1	-7.0026971E-8
5.0499994E-1	-7.0027070E-8
5.0599998E-1	-7.0027113E-8
5.0699997E-1	-7.0027006E-8
5.0799996E-1	-7.0027028E-8
5.0899994E-1	-7.0026744E-8
5.0999999E-1	-7.0026616E-8
5.1099998E-1	-7.0026516E-8
5.1199996E-1	-7.0026701E-8
5.1299995E-1	-7.0026545E-8
5.1399994E-1	-7.0026644E-8
5.1499999E-1	-7.0026687E-8
5.1599997E-1	-7.0026644E-8
5.1699996E-1	-7.0026971E-8
5.1799995E-1	-7.0026978E-8
5.1899999E-1	-7.0027099E-8
5.1999998E-1	-7.0027298E-8
5.2099997E-1	-7.0027227E-8
5.2199996E-1	-7.0027120E-8
5.2299994E-1	-7.0027184E-8
5.2399999E-1	-7.0026985E-8
5.2499998E-1	-7.0027227E-8
5.2599996E-1	-7.0027184E-8
5.2699995E-1	-7.0026921E-8
5.2799994E-1	-7.0027205E-8
5.2899998E-1	-7.0027198E-8
5.2999997E-1	-7.0026985E-8
5.3099996E-1	-7.0027170E-8
5.3199995E-1	-7.0027120E-8
5.3299999E-1	-7.0026815E-8
5.3399998E-1	-7.0026786E-8
5.3499997E-1	-7.0026715E-8
